Sport,Season,Team,W,L,Rank,Conf
WVB,2021-22,Cleveland St.,8,21,249,Horizon
WVB,2021-22,Georgia St.,8,20,250,Sun Belt
WVB,2021-22,UC Davis,11,20,251,Big West
WVB,2021-22,California,7,24,252,Pac-12
WVB,2021-22,Belmont,9,20,253,OVC
WVB,2021-22,LIU,13,14,254,NEC
WVB,2021-22,Nicholls,11,17,255,Southland
WVB,2021-22,Columbia,5,19,256,Ivy League
WVB,2021-22,Miami (OH),7,21,257,MAC
WVB,2021-22,Air Force,7,21,258,Mountain West
WVB,2021-22,Akron,10,20,259,MAC
WVB,2021-22,Purdue Fort Wayne,8,23,260,Horizon
WVB,2021-22,Georgetown,7,22,261,Big East
WVB,2021-22,Duquesne,13,16,262,Atlantic 10
WVB,2021-22,Chattanooga,11,19,263,SoCon
WVB,2021-22,Rhode Island,13,19,264,Atlantic 10
WVB,2021-22,Idaho St.,7,21,265,Big Sky
WVB,2021-22,Central Ark.,7,18,266,ASUN
WVB,2021-22,Fordham,10,20,267,Atlantic 10
WVB,2021-22,UC San Diego,10,21,268,Big West
WVB,2021-22,Alabama St.,17,17,269,SWAC
WVB,2021-22,Furman,9,20,270,SoCon
WVB,2021-22,New Hampshire,16,12,271,America East
WVB,2021-22,CSUN,7,23,272,Big West
WVB,2021-22,UIW,13,19,273,Southland
WVB,2021-22,UNC Asheville,6,19,274,Big South
WVB,2021-22,App State,7,22,275,Sun Belt
WVB,2021-22,Lehigh,8,19,276,Patriot
WVB,2021-22,Presbyterian,12,15,277,Big South
WVB,2021-22,Saint Francis (PA),13,14,278,NEC
WVB,2021-22,Canisius,11,18,279,MAAC
WVB,2021-22,Central Conn. St.,9,17,280,NEC
WVB,2021-22,William & Mary,5,16,281,CAA
WVB,2021-22,Louisiana Tech,9,19,281,C-USA
WVB,2021-22,Bucknell,7,18,283,Patriot
WVB,2021-22,Eastern Ky.,10,21,284,ASUN
WVB,2021-22,Southeastern La.,9,18,285,Southland
WVB,2021-22,Hartford,7,18,286,America East
WVB,2021-22,ULM,5,27,287,Sun Belt
WVB,2021-22,Niagara,13,15,288,MAAC
WVB,2021-22,Southern Ill.,5,26,289,MVC
WVB,2021-22,SIUE,6,23,290,OVC
WVB,2021-22,Quinnipiac,11,18,291,MAAC
WVB,2021-22,Tennessee St.,10,17,292,OVC
WVB,2021-22,Charleston So.,9,17,293,Big South
WVB,2021-22,Ark.-Pine Bluff,14,16,294,SWAC
WVB,2021-22,Northwestern St.,11,19,295,Southland
WVB,2021-22,Southern Utah,6,22,296,Big Sky
WVB,2021-22,St. Thomas (MN),3,25,297,Summit League
WVB,2021-22,Seattle U,4,21,298,WAC
WVB,2021-22,Western Ill.,5,24,299,Summit League
WVB,2021-22,George Mason,5,22,300,Atlantic 10
WVB,2021-22,UMES,12,14,301,MEAC
