Sport,Season,Team,W,L,Rank,Conf
WSB,2019-20,Holy Cross,2,9,275,Patriot
WSB,2019-20,Quinnipiac,1,8,276,MAAC
WSB,2019-20,Harvard,2,8,277,Ivy League
WSB,2019-20,Central Conn. St.,1,3,278,NEC
WSB,2019-20,Howard,2,20,279,MEAC
WSB,2019-20,N.C. Central,1,13,280,MEAC
WSB,2019-20,Mississippi Val.,3,16,281,SWAC
WSB,2019-20,Jackson St.,2,15,282,SWAC
WSB,2019-20,UMES,3,17,283,MEAC
WSB,2019-20,Maine,2,7,284,America East
WSB,2019-20,Rider,1,12,285,MAAC
WSB,2019-20,Alabama A&M;,0,10,286,SWAC
WSB,2019-20,Ark.-Pine Bluff,1,15,287,SWAC
WSB,2019-20,Grambling,3,15,288,SWAC
WSB,2019-20,Morehead St.,4,8,289,OVC
WSB,2019-20,Delaware St.,1,20,290,MEAC
WSB,2019-20,Fairleigh Dickinson,4,11,291,NEC
WSB,2019-20,South Carolina St.,0,10,292,MEAC
WSB,2019-20,Buffalo,2,11,293,MAC
WSB,2019-20,Merrimack,2,9,294,NEC
WSB,2019-20,La Salle,0,10,295,Atlantic 10
WSB,2019-20,Saint Peter's,1,9,296,MAAC
WSB,2019-20,St. Bonaventure,2,7,297,Atlantic 10
WSB,2019-20,Coppin St.,1,6,298,MEAC
