SCHOOL,NO.,NAME,POS.,HT.,WT.,YEAR,HOMETOWN/PREVIOUS_SCHOOL,HIGH_SCHOOL,LAST_SCHOOL
Indiana,8,"Casey, Jared",LB,6-3,218,R-So.,"Louisville, Ky. / Ballard",,Kentucky
Indiana,8,"Smith, Jaquez",WR,6-1,198,R-Fr.,"Fairburn, Ga. / Westlake",,
Indiana,9,"Bazelak, Connor",QB,6-3,220,R-Jr.,"Dayton, Ohio / Archbishop Alter",,Missouri
Indiana,10,"Ellis, David",RB,6-1,204,Sr.,"Clinton Township, Mich. / Chippewa Valley",,
Indiana,10,"Jackson, Myles",OLB,6-2,251,R-So.,"Jonesboro, Ga. / Mill Creek",,UCLA
Indiana,12,"Lucas, Jaylin",RB,5-9,185,Fr.,"Houma, La. / Edna Karr",,
Indiana,12,"Watley-Neely, Lem",DB,6-0,184,R-So.,"Harper Woods, Mich. / Harper Woods",,
Indiana,14,"Turner, Kaiden",LB,6-2,222,Fr.,"Fayetteville, Ark. / Fayetteville",,
Indiana,14,"Tuttle, Jack",QB,6-4,217,R-Sr.,"San Marcos, Calif. / Mission Hills",,University of Utah
Indiana,15,"Smith III, Larry",DB,5-11,175,R-Fr.,"Jacksonville, Fla. / Oakleaf",,
Indiana,16,"Gremel, Grant",QB,6-3,207,R-Jr.,"Noblesville, Ind. / Noblesville",,
Indiana,16,"Grier, Jordan",DB,6-0,196,So.,"Ellenwood, Ga. / Cedar Grove",,
Indiana,17,"Haynes, Jonathan",DB,5-11,205,Gr.,"Benoit, Miss. / Ray Brooks School",,Ole Miss
Indiana,18,"Swinton, Javon",WR,6-2,191,Jr.,"Stafford, Va. / North Stafford",,
Indiana,19,"Holt-Bennett, Malachi",WR,6-3,189,So.,"Birmingham, Ala. / Fairfield High Preparatory School",,
Indiana,19,"Sanguinetti, Josh",DB,6-1,185,R-Jr.,"Lauderdale Lakes, Fla. / University School",,
Indiana,21,"Pierre, Noah",DB,5-11,174,R-Sr.,"Hialeah, Fla. / Champagnat Catholic",,
Indiana,22,"Freeman, Maurice",DB,6-0,201,R-Fr.,"Norfolk, Va. / Oscar Smith",,
Indiana,23,"Williams, Jaylin",DB,6-0,180,Sr.,"Memphis, Tenn. / Germantown",,
Indiana,24,"Bonds, Bryson",DB,6-1,200,Jr.,"Crowley, Texas / Crowley",,
Indiana,25,"Jontz, Will",QB,6-3,228,R-Jr.,"Brighton, Mich. / Brighton",,
Indiana,25,"McCullough II, Deland",DB,6-1,190,R-Jr.,"Bloomington, Ind. / Blue Valley North (Kan.)",,Miami (Ohio)
Indiana,26,"Henderson, Josh",RB,5-11,214,Sr.,"Pennington, N.J. / The Hun School",,North Carolina
Indiana,27,"Howland, Trent",RB,6-3,235,R-Fr.,"Joliet, Ill. / Joliet West",,
Indiana,27,"Trueblood, Xavier",LB,5-11,213,R-So.,"Bloomington, Ind. / Bloomington North",,
Indiana,28,"Spegal, Charlie",RB,5-10,217,R-So.,"New Palestine, Ind. / New Palestine",,
Indiana,29,"Zaccheo, Liam",DB,6-0,177,R-So.,"Jensen Beach, Fla. / Jensen Beach",,
Indiana,31,"Fitzgerald, Bryant",DB,6-0,203,R-Sr.,"Indianapolis, Ind. / Avon",,
Indiana,33,"Hole, Connor",DB,5-11,177,R-So.,"Jamestown, Ind. / Western Boone",,
Indiana,33,"Holloman, David",RB,6-0,205,R-Fr.,"Auburn Hills, Mich. / Avondale",,
Indiana,34,"Washington, Chase",DB,5-11,170,Sr.,"Bloomington, Ind. / Bloomington South",,
Indiana,36,"Grieser, Nicholas",DB,6-0,186,R-Jr.,"New Castle, Ind. / New Castle",,
Indiana,38,"Pearce, Drew",DB,5-11,187,R-Fr.,"Tipton, Ind. / Tipton",,
Indiana,39,"Barnes, Ryan",TE,6-4,246,R-Sr.,"Noblesville, Ind. / Noblesville",,
Indiana,39,"Finley, Patrick",DB,6-0,185,R-So.,"Fort Wayne, Ind. / Bishop Dwenger",,
Indiana,41,"Robbins, Beau",DL,6-5,265,R-Jr.,"Carmel, Ind. / Carmel",,
Indiana,43,"Hohlt, Matt",LB,6-2,215,R-Fr.,"Greenwood, Ind. / Center Grove",,
Indiana,45,"Turvy, Andrew",LB,6-2,225,R-Fr.,"Carmel, Ind. / Carmel",,
Indiana,45,"Walker, Trey",TE,6-5,247,R-Jr.,"Winnetka, Ill. / New Trier",,
Indiana,46,"Casey, Aaron",LB,6-2,225,R-Sr.,"Douglasville, Ga. / Alexander",,
Indiana,47,"Tevis, JH",DL,6-4,281,R-Sr.,"Piedmont, Calif. / Menlo School",,Cal
Indiana,48,"Bomba, James",TE,6-6,246,R-Fr.,"Bloomington, Ind. / Bloomington South",,Miami (Ohio)
Indiana,49,"Daugstrup, Sam",TE,6-5,240,R-So.,"Cleveland, Ohio / Saint Ignatius",,
Indiana,49,"Wethington, Brett",RB,6-0,217,R-So.,"Thorntown, Ind. / Western Boone",,
Indiana,50,"Carpenter, Zach",OL,6-5,304,R-Jr.,"Cincinnati, Ohio / Archbishop Moeller",,Michigan
Indiana,50,"Nofoagatoto'a, Sio",DL,6-3,313,Sr.,"Ili'ili, American Samoa / Clearwater Academy International (Fla.)",,
Indiana,51,"Lucas Jr., Patrick",DL,6-3,320,R-Jr.,"Prattville, Ala. / Wetumpka",,Ole Miss
Indiana,53,"Fiacable, Vinny",OL,6-4,309,R-Fr.,"Fort Wayne, Ind. / Bishop Dwenger",,
Indiana,55,"Murphy, Caleb",DL,6-4,289,R-So.,"Campbellsburg, Ind. / West Washington",,
Indiana,55,"Sneed, Venson",DL,6-4,248,Fr.,"Winter Park, Fla. / Winter Park",,
Indiana,56,"Katic, Mike",OL,6-4,309,R-Jr.,"Gibsonia, Pa. / Pine-Richland",,
Indiana,57,"Kameristy, Julian",DL,6-2,274,R-Fr.,"Chicago, Ill. / IMG Academy",,
Indiana,58,"Bradberry, Chris",OL,6-6,306,R-Sr.,"Rancho Cucamonga, Calif. / Etiwanda",,Riverside (Calif.) Community College
Indiana,60,"Davis, Dalton",DL,6-1,280,R-Jr.,"Noblesville, Ind. / Noblesville",,
Indiana,61,"Tamis, Ricky",OL,6-3,291,R-Jr.,"Miami Beach, Fla. / Miami Beach Sr.",,
Indiana,62,"Knight, Cameron",OL,6-3,293,R-So.,"Noblesville, Ind. / Noblesville",,
Indiana,63,"Buttrell, Andy",OL,6-5,294,R-So.,"Argyle, Texas / Liberty Christian",,
Indiana,64,"Stewart, Race",DL,6-3,309,R-Fr.,"Bloomington, Ind. / Bloomington North",,
Indiana,65,"Smith, Carter",OL,6-5,280,Fr.,"Powell, Ohio / Olentangy Liberty",,
Indiana,67,"Benson, Kahlil",OL,6-6,307,R-So.,"Southaven, Miss. / Southaven",,
Indiana,69,"Schulz, Peter",OL,6-2,250,R-Jr.,"Franklin, Mich. / Brother Rice",,
Indiana,70,"Haggard, Luke",OL,6-7,303,Sr.,"Petaluma, Calif. / Petaluma",,Santa Rosa J.C. (Calif.)
Indiana,71,"Holtz, Randy",OL,6-7,365,R-So.,"Fort Wayne, Ind. / Snider",,
Indiana,73,"Weaver, Tim",OL,6-6,317,R-Jr.,"Hellertown, Pa. / Saucon Valley",,
Indiana,75,"Wiginton, Luke",OL,6-5,298,R-So.,"Fort Wayne, Ind. / Bishop Dwenger",,
Indiana,76,"Bedford, Matthew",OL,6-6,308,Sr.,"Cordova, Tenn. / Cordova",,
Indiana,77,"Sales Jr., Joshua",OL,6-6,315,R-Fr.,"Brownsburg, Ind. / Brownsburg",,
Indiana,80,"Freeman, Chris",K,6-2,190,R-So.,"Zionsville, Ind. / Zionsville",,
Indiana,81,"Robinson, Kurtis",LS,6-3,189,R-Fr.,"Alpharetta, Ga. / Johns Creek",,
Indiana,82,"Harris, Christian",WR,6-3,181,R-Sr.,"Wheaton, Ill. / Wheaton-Warrenville South",,College of DuPage (Ill.)
Indiana,83,"Jochem, Eli",WR,6-1,181,R-Fr.,"Gibsonia, Pa. / Pine-Richland",,
Indiana,84,"Steinfeldt, Aaron",TE,6-5,243,R-Fr.,"Bloomington, Ind. / Bloomington North",,
Indiana,85,"Ray, McCall",WR,5-11,184,R-Jr.,"Bedford, Ind. / Bedford North Lawrence",,
Indiana,86,"Foley, Brody",TE,6-6,246,Fr.,"Cincinnati, Ohio / Anderson",,
Indiana,87,"Miller, Ryan",TE,6-6,221,Fr.,"Chagrin Falls, Ohio / Kenston",,
Indiana,88,"Barner, AJ",TE,6-6,251,Jr.,"Aurora, Ohio / Aurora",,
Indiana,91,"Cox, LeDarrius",DL,6-4,319,R-Jr.,"Mobile, Ala. / McGill-Toolen",,Ole Miss
Indiana,92,"Bryant, Alfred",OLB,6-2,253,R-Sr.,"Fresno, Texas / Manvel",,
Indiana,93,"Campbell, Charles",K,5-9,170,R-Sr.,"Jackson, Tenn. / University School of Jackson",,
Indiana,94,"Elliott, Demarcus",DL,6-3,313,Sr.,"Garden City, Kan. / Garden City",,Garden City C.C. (Kan.)
Indiana,94,"Evans, James",P,6-1,218,So.,"Auckland, New Zealand / Sacred Heart College Auckland",,
Indiana,95,"Wracher, Sean",LS,6-4,199,Sr.,"Akron, Ohio / Saint Ignatius",,
Indiana,97,"Wellmann, Jake",LS,6-1,215,R-So.,"Indianapolis, Ind. / Warren Central",,
Indiana,98,"Jones, Cooper",DL,6-6,275,R-Fr.,"Valparaiso, Ind. / Valparaiso",,
Indiana,99,"James, Nick",DL,6-2,293,Fr.,"Bradenton, Fla. / IMG Academy",,
Iowa,0,Diante Vines,WR,6-0,193,So.,"Danbury, Conn.",The Taft School,
Iowa,1,Aaron Blom,K,5-11,190,So.,"Oskaloosa, Iowa",Oskaloosa,
Iowa,1,Xavier Nwankpa,DB,6-2,190,Fr.,"Pleasant Hill, Iowa",Southeast Polk,
Iowa,2,Terry Roberts,DB,5-10,180,Sr.,"Erie, Pa.",Cathedral Prep,
Iowa,3,Cooper DeJean,DB,6-1,203,So.,"Odebolt, Iowa",OA-BCIG,
Iowa,4,Leshon Williams,RB,5-10,205,So.,"Chicago, Ill.",Richards,
Iowa,5,Jestin Jacobs,LB,6-4,236,Jr.,"Englewood, Ohio",Northmont,
Iowa,5,Joe Labas,WB,6-4,194,RS Fr.,"Brecksville, Ohio",Brecksville-Broadview Heights,
Iowa,6,TJ Hall,DB,6-0,170,Fr.,"Fresno, Calif.",San Joaquin Memorial,
Iowa,6,Keagan Johnson,WR,6-1,197,So.,"Bellevue, Neb.",Bellevue West,
Iowa,7,Reggie Bracy,DB,6-0,206,Jr.,"Mobile, Ala.",St. Paul's Episcopal,
Iowa,7,Spencer Petras,QB,6-5,233,Sr.,"San Rafael, Calif.",Marin Catholic,
Iowa,8,Alex Padilla,QB,6-1,197,Jr.,"Greenwood Village, Colo.",Cherry Creek,
Iowa,9,Tory Taylor,P,6-4,231,Jr.,"Melbourne, Australia",Haileybury College,
Iowa,10,Arland Bruce IV,WR,5-10,193,So.,"Olathe, Kan.",Ankeny/Olathe North,
Iowa,11,AJ Lawson,DB,6-0,192,So.,"Decatur, Ill.",MacArthur,
Iowa,12,Jaxon Rexroth,DB,6-2,190,RS Fr.,"Cedar Rapids, Iowa",Xavier,
Iowa,13,Joe Evans,DE,6-2,248,Sr.,"Ames, Iowa",Ames,
Iowa,14,Brody Brecht,WR,6-4,205,RS Fr.,"Ankeny, Iowa",Ankeny,
Iowa,15,Dallas Craddieth,DB,5-11,205,Sr.,"St. Louis, Mo.",Hazelwood Central,
Iowa,16,Jamison Heinz,DB,6-0,200,So.,"Humboldt, Iowa",Humboldt,
Iowa,16,Charlie Jones,WR,6-0,188,Sr.,"Deerfield, Ill.",Deerfield,Buffalo
Iowa,17,Brenden Deasfernandes,DB,6-0,189,So.,"Belleville, Mich.",Belleville,
Iowa,17,Max White,RB,5-10,190,RS Fr.,"Cedar Rapids, Iowa",Kennedy,
Iowa,18,Drew Stevens,K,6-0,175,Fr.,"North Augusta, S.C.",North Augusta,
Iowa,18,Alec Wick,WR,6-1,180,RS Fr.,"Iowa City, Iowa",Regina Catholic,
Iowa,19,Gaven Cooke,DB,6-1,189,RS Fr.,"Kentfield, Calif.",Marin Catholic,
Iowa,20,Deavin Hilson,RB,6-1,192,RS Fr.,"Des Moines, Iowa",North,
Iowa,21,Thomas Hartlieb,DB,5-11,195,Jr.,"Madison, Wis.",Edgewood,
Iowa,21,Kaden Wetjen,WR,5-10,180,So.,"Williamsburg, Iowa",Williamsburg,Iowa Western CC
Iowa,22,Nolan Donald,WR,5-9,194,Jr.,"Morton, Ill.",Morton,
Iowa,25,Kelby Telander,LB,6-4,190,RS Fr.,"North Liberty, Iowa",Liberty,
Iowa,25,Gavin Williams,RB,6-0,211,So.,"Altoona, Iowa",Dowling Catholic,
Iowa,26,Kaevon Merriweather,DB,6-0,211,Sr.,"Belleville, Mich.",Belleville,
Iowa,27,Jermari Harris,DB,6-1,185,Jr.,"Chicago, Ill.",Montini Catholic,
Iowa,27,Jack Johnson,WR,6-0,193,So.,"West Des Moines, Iowa",Valley,
Iowa,29,Sebastian Castro,DB,5-11,204,Jr.,"Oak Lawn, Ill.",Richards,
Iowa,29,Jackson Ritter,WR,6-3,214,Jr.,"Frankfort, Ill.",Lincoln-Way East,
Iowa,30,Quinn Schulte,DB,6-1,201,Jr.,"Cedar Rapids, Iowa",Xavier,
Iowa,31,Jack Campbell,LB,6-5,243,Sr.,"Cedar Falls, Iowa",Cedar Falls,
Iowa,32,Eli Miller,LB,6-1,200,RS Fr.,"Sedalia, Co.",Lipscomp Academy,Valor Christian
Iowa,32,Johnny Plewa,FB,6-0,235,Jr.,"Franklin, Wis.",Franklin,
Iowa,33,Riley Moss,DB,6-1,194,Sr.,"Ankeny, Iowa",Centennial,
Iowa,34,Zach Brand,RB,5-11,198,RS Fr.,"Grimes, Iowa",Dallas Center-Grimes,
Iowa,34,Jay Higgins,LB,6-2,227,Jr.,"Indianapolis, Ind.",Brebeuf Jesuit Prep,
Iowa,35,Justice Sullivan,LB,6-2,233,RS Fr.,"Eden Prairie, Minn.",Eden Prairie,
Iowa,36,Mike Timm,FB,6-0,233,Sr.,"Delafield, Wis.",Kettle Moraine,
Iowa,37,Kyler Fisher,LB,5-11,225,Jr.,"Farnhamville, Iowa",SE Valley,
Iowa,38,Greg Fagan,LB,6-3,200,Fr.,"Council Bluffs, Iowa",St. Albert,
Iowa,38,Monte Pottebaum,FB,6-1,246,Sr.,"Larchwood, Iowa",West Lyon,
Iowa,39,Luke Elkin,LS,6-1,200,So.,"Neenah, Wis.",Neenah,
Iowa,39,Eric Epenesa,DB,6-3,189,RS Fr.,"Glen Carbon, Ill.",Edwardsville,
Iowa,40,Turner Pallissard,FB,6-0,245,Sr.,"Frankfort, Ill.",Lincoln-Way East,
Iowa,40,Josef Smith,LB,6-3,221,So.,"Britt, Iowa",West Hancock,
Iowa,41,Jaden Harrell,LB,6-2,231,RS Fr.,"Urbandale, Iowa",Urbandale,
Iowa,42,Denin Limouris,TE/FB,6-2,220,RS Fr.,"Glen Ellyn, Ill.",Glenbard West,
Iowa,42,Zach Twedt,LB,6-3,229,RS Fr.,"Story City, Iowa",Roland-Story,
Iowa,43,Karson Sharar,LB,6-2,201,RS Fr.,"Iowa Falls, Iowa",Iowa Falls-Alden,
Iowa,44,Seth Benson,LB,6-0,229,Sr.,"Sioux Falls, S.D.",Washington,
Iowa,45,Deontae Craig,DL,6-3,263,So.,"Fort Wayne, Ind.",Culver Academies,
Iowa,45,Nick Phelps,P,5-10,205,Sr.,"Kingsley, Iowa",Woodbury Central,North Dakota State
Iowa,46,Logan Klemp,LB,6-2,234,Sr.,"Jewell, Iowa",South Hamilton,
Iowa,48,Max Llewellyn,DL,6-5,232,RS Fr.,"Urbandale, Iowa",Urbandale,
Iowa,49,Ethan Hurkett,DL,6-3,261,So.,"Cedar Rapids, Iowa",Xavier,
Iowa,49,Andrew Lentsch,TE,6-4,225,RS Fr.,"West Des Moines, Iowa",Dowling Catholic,
Iowa,50,Louie Stec,DL,6-0,264,Jr.,"LaGrange Park, Ill.",Nazareth,
Iowa,52,Asher Fahey,OL,6-5,281,So.,"Waukon, Iowa",Waukon,
Iowa,53,Michael Myslinski,OL,6-3,278,RS Fr.,"Jacksonville, Fla.",Bishop Kenny,
Iowa,54,Matt Fagan,OL,6-5,287,Sr.,"Council Bluffs, Iowa",St. Albert,
Iowa,55,Jeremiah Pittman,DL,6-3,303,RS Fr.,"Palatine, Ill.",St. Viator,
Iowa,56,Nick DeJong,OL,6-6,292,Jr.,"Pella, Iowa",Pella,
Iowa,58,Taylor Fox,OL,6-3,290,Jr.,"Winthrop, Iowa",East Buchanan,
Iowa,59,Griffin Liddle,OL,6-3,267,RS Fr.,"Bettendorf, Iowa",Bettendorf,
Iowa,63,Justin Britt,OL,6-4,302,Jr.,"Indianapolis, Ind.",Warren Central,
Iowa,65,Logan Jones,OL,6-3,282,So.,"Council Bluffs, Iowa",Lewis Central,
Iowa,66,Jeremy Chaplin,OL,6-2,268,RS Fr.,"Waverly, Iowa",Waverly-Shell Rock,
Iowa,67,Gennings Dunker,OL,6-5,291,RS Fr.,"Lena, Iowa",Lena-Winslow,
Iowa,69,Tyler Endres,OL,6-6,295,Jr.,"Norwalk, Iowa",Norwalk,
Iowa,70,Beau Stephens,OL,6-6,300,RS Fr.,"Blue Springs, Mo.",Blue Springs,
Iowa,74,David Davidkov,OL,6-6,286,RS Fr.,"Glenview, Ill.",New Trier,
Iowa,75,Josh Volk,OL,6-4,308,So.,"Cedar Rapids, Iowa",Xavier,
Iowa,76,Tyler Elsbury,OL,6-5,301,So.,"Byron, Ill.",Byron,
Iowa,77,Connor Colby,OL,6-6,298,So.,"Cedar Rapids, Iowa",Kennedy,
Iowa,78,Mason Richman,OL,6-6,296,So.,"Leawood, Kan.",Blue Valley,
Iowa,79,Jack Plumb,OL,6-7,296,Sr.,"Green Bay, Wis.",Bay Port,
Iowa,80,Brennan Sweeney,DE,6-3,243,RS Fr.,"Waukon, Iowa",Waukon,
Iowa,82,Johnny Pascuzzi,TE,6-4,225,RS Fr.,"Olathe, Kan.",Rockhurst,
Iowa,83,Jameson Witte,DL,6-5,265,Fr.,"O’Fallon, Mo.",St. Dominic,
Iowa,84,Sam LaPorta,TE,6-4,249,Sr.,"Highland, Ill.",Highland,
Iowa,85,Luke Lachey,TE,6-6,248,So.,"Columbus, Ohio",Grandview,
Iowa,85,Logan Lee,DL,6-5,277,Jr.,"Orion, Ill.",Orion,
Iowa,86,Jeff Bowie,DL,6-5,268,RS Fr.,"West Branch, Iowa",West Branch,
Iowa,88,Jackson Frericks,TE,6-6,229,Jr.,"Cedar Falls, Iowa",Cedar Falls,
Iowa,89,Nico Ragaini,WR,6-0,191,Sr.,"East Haven, Conn.",Notre Dame,Avon Old Farms Prep
Iowa,90,Brian Allen,DE,6-4,250,Fr.,"Lake in the Hills, Ill.",St. Thomas More HS (Conn.),
Iowa,91,Lukas Van Ness,DL,6-5,264,So.,"Barrington, Ill.",Barrington,
Iowa,92,John Waggoner,DL,6-5,266,Sr.,"Des Moines, Iowa",Dowling Catholic,
Iowa,93,Anu Dokun,DL,6-3,224,So.,"Iowa City, Iowa",West,
Iowa,94,Yahya Black,DL,6-5,287,So.,"Marshall, Minn.",Marshall,
Iowa,96,Lucas Amaya,K,6-2,207,Jr.,"Muskego, Wis.",Muskego,
Iowa,97,Caden Crawford,DL,6-4,250,Fr.,"Lansing, Kan.",Lansing,
Iowa,97,Liam Reardon,LS,6-1,218,So.,"Chicago, Ill.",Mount Carmel,
Iowa,98,Chris Reames,DL,6-7,270,Jr.,"Van Meter, Iowa",Van Meter,
Iowa,99,Noah Shannon,DL,6-0,289,Sr.,"Montgomery, Ill.",Oswego,
Iowa,,Jacob Bostick,WR,6-2,170,Fr.,"Palatine, Ill.",Palatine,
Iowa,,Jack Dotzler,OL,6-6,260,Fr.,"Waunakee, Wis.",Waunakee,
Iowa,,Koen Entringer,DB,6-2,195,Fr.,"Ypsilanti, Mich.",Walled Lake Western,
Iowa,,Carter Erickson,DB,6-0,185,Fr.,"Indianola, Iowa",Indianola,
Iowa,,Graham Friedrichsen,WR,6-2,185,Fr.,"Urbandale, Iowa",Urbandale,
Iowa,,Luke Gaffney,DL,6-2,250,Fr.,"Robins, Iowa",Linn-Mar,
Iowa,,Aaron Graves,DL,6-5,275,Fr.,"Dayton, Iowa",Southeast Valley,
Iowa,,Will Hubert,DL,6-3,245,Fr.,"Omaha, Neb.",Papillion-La Vista,
Iowa,,Kaleb Johnson,RB,6-1,210,Fr.,"Hamilton, Ohio",Hamilton,
Iowa,,Kael Kolarik,DB,6-0,205,Fr.,"Indianola, Iowa",Indianola,
Iowa,,Andrew Kraus,DL,6-5,225,Fr.,"Barrington, Ill.",Barrington,
Iowa,,Kale Krogh,OL,6-5,270,Fr.,"Huxley, Iowa",Ballard,
Iowa,,Deshaun Lee,DB,5-10,175,Fr.,"Belleville, Mich.",Belleville,
Iowa,,Carson May,QB,6-4,215,Fr.,"Jones, Okla.",Jones,
Iowa,,Jayden Montgomery,LB,6-0,225,Fr.,"Suamico, Wis.",Bay Port,
Iowa,,Addison Ostrenga,TE,6-4,220,Fr.,"Sun Prairie, Wis.",Sun Prairie,
Iowa,,Jaziun Patterson,RB,5-11,185,Fr.,"Pompano, Beach, Fla.",Deerfield Beach,
Iowa,,Olando Trader,DB,6-0,185,Fr.,"Jackson, Mich.",Jackson,
Iowa,,Landyn Van Kekerix,LB,6-2,205,Fr.,"Inwood, Iowa",Boyden Hull/Rock Valley,
Iowa,,Kyson Van Vugt,TE,6-7,230,Fr.,"Hull, Iowa",Western Christian,
Iowa,,Cael Vanderbush,TE,6-5,205,Fr.,"Plainfield, Ind.",Plainfield,
Iowa,,Dominic Wiseman,DL,6-0,265,Fr.,"Davenport, Iowa",North,
Maryland,0,Greg China-Rose,DL,6-2,295,R-Sr.,"Los Angeles, CA / DeMatha Catholic",,
Maryland,1,Jaishawn Barham,LB,6-3,230,Fr.,"District Heights, MD / St. Frances Academy",,
Maryland,1,Marcus Fleming,WR,5-10,165,R-So.,"Miami, FL / Miami Northwestern",,
Maryland,2,Jakorian Bennett,DB,5-11,195,Sr.,"Mobile, AL / McGill-Toolen HS",,
Maryland,2,Jacob Copeland,WR,6-0,202,Jr.,"Pensacola, FL / Escambia",,
Maryland,3,Deonte Banks,DB,6-2,205,R-Jr.,"Baltimore, MD / Edgewood",,
Maryland,3,Taulia Tagovailoa,QB,5-11,200,R-Jr.,"Ewa Beach, HI / Thompson",,
Maryland,4,Tarheeb Still,DB,6-0,185,Jr.,"Sicklerville, NJ / Timber Creek Regional",,
Maryland,5,Rakim Jarrett,WR,6-0,190,Jr.,"Palmer Park, MD / St. John’s College",,
Maryland,6,Corey Coley Jr.,DB,6-2,180,So.,"Jacksonville, FL / Trinity Christian Academy",,
Maryland,6,Jeshaun Jones,WR,6-2,185,R-Sr.,"Fort Myers, FL / South Fort Myers",,
Maryland,7,Dontay Demus Jr.,WR,6-4,215,Sr.,"Washington, DC / Friendship Collegiate",,
Maryland,7,Jayon Venerable,DB,5-11,205,So.,"Annapolis, MD / Archbishop Spalding",,
Maryland,8,Vandarius Cowan,LB,6-4,240,Sr.,"Palm Beach Gardens, FL / Palm Beach Gardens",,
Maryland,9,Fa'Najae Gotay,LB,6-0,220,R-Sr.,"Fort Myers, FL / North Fort Myers",,
Maryland,10,Tyler Baylor,DL,6-4,265,R-Sr.,"Silver Spring, MD / Good Counsel",,
Maryland,10,Tai Felton,WR,6-1,185,So.,"Ashburn, VA / Stone Bridge",,
Maryland,10,Zachary Jackson,QB,6-0,195,R-Fr.,"Aldie, VA / John Champe",,
Maryland,11,Ruben Hyppolite II,LB,6-0,230,Jr.,"Davie, FL / McArthur",,
Maryland,12,Ryan Duell,QB,6-3,220,R-Fr.,"West Chester, PA / West Chester East",,
Maryland,12,Dante Trader Jr.,DB,6-0,190,So.,"Delmar, DE / McDonogh",,
Maryland,13,Glendon Miller,DB,6-3,195,R-So.,"Orange Park, FL / Ridgeview",,
Maryland,14,David Foust,QB,6-3,210,R-So.,"Edgewater, MD / South River",,
Maryland,14,Isaiah Hazel,DB,6-1,205,Sr.,"Largo, MD / Wise",,
Maryland,15,Riyad Wilmot,DL,6-3,255,R-Jr.,"Ft. Lauderdale, FL / St. Thomas Aquinas",,
Maryland,18,CJ Dippre,TE,6-5,260,So.,"Scranton, PA / Lakeland",,
Maryland,18,John Griffith,QB,6-0,210,Fr.,"Linthicum, MD / St. Frances Academy",,
Maryland,19,Ahmad McCullough,LB,6-2,225,R-Sr.,"Baltimore, MD / Mount Saint Joseph",,
Maryland,19,Weston Wolff,TE,6-4,230,R-Fr.,"Venice, FL / Venice",,
Maryland,21,Gereme Spraggins,LB,6-3,250,Sr.,"Baltimore, MD / Arundel",,
Maryland,22,Eric Najarian,QB,6-4,210,R-Jr.,"Crofton, MD / DeMatha Catholic",,
Maryland,23,Colby McDonald,RB,5-11,210,So.,"Accokeek, MD / St. John’s College",,
Maryland,24,Kenny Bennett,DB,6-3,200,Sr.,"Philadelphia, PA / Academy at Palumbo",,
Maryland,24,Roman Hemby,RB,6-0,200,R-Fr.,"Edgewood, MD / John Carroll",,
Maryland,25,Beau Brade,DB,6-1,200,Jr.,"Clarksville, MD / River Hill",,
Maryland,26,Gavin Gibson,DB,5-11,175,Fr.,"Hickory, NC / William Amos Hough",,
Maryland,29,Challen Faamatau,RB,5-11,225,Sr.,"Kalihi, HI / Farrington",,
Maryland,29,Devyn King,DB,5-11,180,R-So.,"Rancho Palos Verdes, CA / Junipero Serra-Gardena",,
Maryland,30,Durell Nchami,LB,6-4,260,R-Sr.,"Silver Spring, MD / Paint Branch",,
Maryland,31,Andrew Booker,LB,6-3,238,Fr.,"Cincinnati, OH / Winton Woods",,
Maryland,31,Antwain Littleton II,RB,6-0,285,R-Fr.,"Greenbelt, MD / St. John’s College",,
Maryland,32,Shane Mosley,DB,5-11,205,R-So.,"Havertown, PA / Haverford",,
Maryland,33,Mosiah Nasili-Kite,DL,6-2,310,R-Sr.,"Pittsburg, CA / Emerald Ridge",,
Maryland,35,Joseph Bearns III,FB,6-1,280,R-Fr.,"Huntingtown, MD / St. Frances Academy",,
Maryland,35,Kobi Thomas,LB,6-1,235,Sr.,"Largo, MD / DeMatha Catholic",,
Maryland,36,Owura Berko,DB,6-0,195,R-Jr.,"Crofton, MD / The Severn School",,
Maryland,37,Lavonte Gater,DB,5-10,165,Sr.,"Palmer Park, MD / Ballou",,
Maryland,38,Chad Ryland,K,6-0,183,Sr.,"Lebanon, PA / Cedar Crest",,
Maryland,40,Taizse Johnson,DL,6-1,310,So.,"District Heights, MD / St. John’s College",,
Maryland,41,Rex Fleming,DB,5-11,195,Jr.,"Owings, MD / Northern",,
Maryland,42,Kameron Blount,LB,6-3,240,R-Jr.,"Waldorf, MD / St. Charles",,
Maryland,43,Brenden Segovia,P,6-1,230,R-Fr.,"Los Angeles, CA / Oaks Christian School",,
Maryland,44,Caleb Wheatland,LB,6-2,235,Fr.,"Centreville, VA / Avalon School",,
Maryland,45,Jake Foggia,LS,5-11,230,R-So.,"West Long Branch, NJ / Red Bank Catholic",,
Maryland,47,Harrison Beattie,K,5-11,195,R-So.,"Phoenix, MD / McDonogh",,
Maryland,47,Maxwell Brown,TE,6-4,200,R-Fr.,"Olney, MD / Sherwood",,
Maryland,48,Terrance Butler Jr.,LB,6-3,225,R-Fr.,"Baltimore, Md. / Saint Frances Academy",,
Maryland,49,David Brownlee,LB,6-1,230,Sr.,"Clinton, MD / Bishop McNamara",,
Maryland,50,Alex Simet,LB,5-10,220,Sr.,"Towson, MD / Towson",,
