Team,Conference,ConferenceAbbrev,Power5,Nickname,Name1,Name2,Name3,Name4,Name5,Name6,Name7
Bethune-Cookman,Mid-Eastern Atheltic,MEAC,FALSE,Wildcats,COOK,,,,,,
Delaware State,Mid-Eastern Atheltic,MEAC,FALSE,Hornets,DSU,,,,,,
Florida A&M,Mid-Eastern Atheltic,MEAC,FALSE,Rattlers,FAMU,,,,,,
Howard,Mid-Eastern Atheltic,MEAC,FALSE,Bison,HOW,,,,,,
Morgan State,Mid-Eastern Atheltic,MEAC,FALSE,Bears,MORG,,,,,,
Norfolk State,Mid-Eastern Atheltic,MEAC,FALSE,Spartans,NORF,,,,,,
North Carolina A&T,Mid-Eastern Atheltic,MEAC,FALSE,Aggies,NCAT,N Carolina A&T,NC A&T,,,,
North Carolina Central,Mid-Eastern Atheltic,MEAC,FALSE,Eagles,NCCU,NC Central,,,,,
Savannah State,Mid-Eastern Atheltic,MEAC,FALSE,Tigers,SAV,,,,,,
South Carolina State,Mid-Eastern Atheltic,MEAC,FALSE,Bulldogs,SCST,S Carolina St,S. Carolina St.,S Carolina St.,South Carolina St.,South Carolina St,
Illinois State,Missouri Valley,MVC,FALSE,Redbirds,ILST,Illinois St,Illinois St.,,,,
Indiana State,Missouri Valley,MVC,FALSE,Sycamores,INST,Indiana St,Indiana St.,,,,
Missouri State,Missouri Valley,MVC,FALSE,Bears,MOST,Missouri St,Missouri St.,,,,
North Dakota State,Missouri Valley,MVC,FALSE,Bison,NDSU,North Dakota St,North Dakota St.,N Dakota St,,,
Northern Iowa,Missouri Valley,MVC,FALSE,Panthers,UNI,N Iowa,,,,,
South Dakota,Missouri Valley,MVC,FALSE,Coyotes,SDAK,S Dakota,,,,,
South Dakota State,Missouri Valley,MVC,FALSE,Jackrabbits,SDSU,SDKST,South Dakota St,South Dakota State,S Dakota St,,
Southern Illinois,Missouri Valley,MVC,FALSE,Salukis,SIU,S Illinois,,,,,
Western Illinois,Missouri Valley,MVC,FALSE,Leathernecks,WIU,W Illinois,,,,,
Youngstown State,Missouri Valley,MVC,FALSE,Penguins,YSU,Youngstown St,Youngstown St.,,,,
Bryant,Northeast,NEC,FALSE,Bulldogs,BRY,,,,,,
Central Connecticut,Northeast,NEC,FALSE,Blue Devils,CCSU,Cent Conn St,,,,,
Duquesne,Northeast,NEC,FALSE,Dukes,DUQ,,,,,,
Robert Morris (PA),Northeast,NEC,FALSE,Colonials,RMU,Robert Morris,,,,,
Sacred Heart,Northeast,NEC,FALSE,Pioneers,SHU,,,,,,
St. Francis (PA),Northeast,NEC,FALSE,Red Flash,SFU,St Francis (PA),,,,,
Wagner,Northeast,NEC,FALSE,Seahawks,WAG,,,,,,
Austin Peay,Ohio Valley,OVC,FALSE,Governors,PEAY,,,,,,
Eastern Illinois,Ohio Valley,OVC,FALSE,Panthers,EIU,E Illinois,,,,,
Eastern Kentucky,Ohio Valley,OVC,FALSE,Colonels,EKY,E Kentucky,,,,,
Jacksonville State,Ohio Valley,OVC,FALSE,Gamecocks,JVST,Jacksonville St,Jacksonville St.,,,,
Murray State,Ohio Valley,OVC,FALSE,Racers,MURR,,,,,,
Southeast Missouri,Ohio Valley,OVC,FALSE,Redhawks,SEMO,Southeast Missouri State,Southeast Missouri St,Southeast Missouri St.,SE Missouri,SE Missouri St,SE Missouri St.
Tennessee State,Ohio Valley,OVC,FALSE,Tigers,TNST,Tennessee St,Tennessee St.,,,,
Tennessee Tech,Ohio Valley,OVC,FALSE,Golden Eagles,TNTC,Tenn Tech,,,,,
Tennessee-Martin,Ohio Valley,OVC,FALSE,Skyhawks,UTM,UT Martin,,,,,
Bucknell,Patriot,Patriot,FALSE,Bison,BUCK,,,,,,
Colgate,Patriot,Patriot,FALSE,Raiders,COLG,,,,,,
Fordham,Patriot,Patriot,FALSE,Rams,FOR,,,,,,
Georgetown,Patriot,Patriot,FALSE,Hoyas,GTWN,,,,,,
Holy Cross,Patriot,Patriot,FALSE,Crusaders,HC,,,,,,
Lafayette,Patriot,Patriot,FALSE,Leopards,LAF,,,,,,
Lehigh,Patriot,Patriot,FALSE,Mountain Hawks,LEH,,,,,,
Butler,Pioneer,Pioneer,FALSE,Bulldogs,BUT,,,,,,
Davidson,Pioneer,Pioneer,FALSE,Wildcats,DAV,,,,,,
Dayton,Pioneer,Pioneer,FALSE,Flyers,DAY,,,,,,
Drake,Pioneer,Pioneer,FALSE,Bulldogs,DRKE,,,,,,
Jacksonville,Pioneer,Pioneer,FALSE,Dolphins,JAC,,,,,,
Marist,Pioneer,Pioneer,FALSE,Red Foxes,MRST,,,,,,
Morehead State,Pioneer,Pioneer,FALSE,Eagles,MORE,Morehead St,Morehead St.,,,,
San Diego,Pioneer,Pioneer,FALSE,Toreros,USD,,,,,,
Stetson,Pioneer,Pioneer,FALSE,Hatters,STET,,,,,,
Valparaiso,Pioneer,Pioneer,FALSE,Crusaders,VALP,,,,,,
Chattanooga,Southern,SoCon,FALSE,Mocs,CHAT,,,,,,
Citadel,Southern,SoCon,FALSE,Bulldogs,CIT,The Citadel,,,,,
East Tennessee St.,Southern,SoCon,FALSE,Buccaneers,ETSU,East Tennessee State,East Tennessee St,ETSU,E Tennessee State,,
Furman,Southern,SoCon,FALSE,Paladins,FUR,,,,,,
Mercer,Southern,SoCon,FALSE,Bears,MER,,,,,,
Samford,Southern,SoCon,FALSE,Bulldogs,SAM,,,,,,
VMI,Southern,SoCon,FALSE,Keydets,VMI,,,,,,
Western Carolina,Southern,SoCon,FALSE,Catamounts,WCU,W Carolina,,,,,
Wofford,Southern,SoCon,FALSE,Terriers,WOF,,,,,,
Abilene Christian,Southland,Southland,FALSE,Wildcats,ACU,Abil Christian,,,,,
Central Arkansas,Southland,Southland,FALSE,Bears,UCA,Cent Arkansas,C Arkansas,,,,
Houston Baptist,Southland,Southland,FALSE,Huskies,HBU,,,,,,
Incarnate Word,Southland,Southland,FALSE,Cardinals,IW,,,,,,
Lamar,Southland,Southland,FALSE,Cardinals,LAM,,,,,,
McNeese State,Southland,Southland,FALSE,Cowboys,MCNS,McNeese,McNeese St.,McNeese St,,,
Nicholls State,Southland,Southland,FALSE,Colonels,NICH,Nicholls,Nicholls St.,Nicholls St,,,
Northwestern State,Southland,Southland,FALSE,Demons,NWST,Northwestern St.,Northwestern St,,,,
Sam Houston State,Southland,Southland,FALSE,Bearkats,SHSU,Sam Houston St.,Sam Houston St,Sam Houston,,,
Southeastern Louisiana,Southland,Southland,FALSE,Lions,SELA,SE Louisiana,,,,,
Stephen F. Austin,Southland,Southland,FALSE,Lumberjacks,SFA,Stephen F Austin,SF Austin,,,,
Alabama A&M,Southwestern Athletic,SWAC,FALSE,Bulldogs,AAMU,,,,,,
Alabama State,Southwestern Athletic,SWAC,FALSE,Hornets,ALST,Alabama St.,Alabama St,,,,
Alcorn State,Southwestern Athletic,SWAC,FALSE,Braves,ALCN,Alcorn St.,Alcorn St,,,,
Arkansas-Pine Bluff,Southwestern Athletic,SWAC,FALSE,Golden Lions,UAPB,AR-Pine Bluff,,,,,
Grambling,Southwestern Athletic,SWAC,FALSE,Tigers,GRAM,Grambling St.,Grambling St,Grambling State,,,
Jackson State,Southwestern Athletic,SWAC,FALSE,Tigers,JKST,Jackson St.,Jackson St,,,,
Mississippi Valley State,Southwestern Athletic,SWAC,FALSE,Delta Devils,MVSU,Mississippi Valley St.,Mississippi Valley St,Miss Valley St,,,
Prairie View A&M,Southwestern Athletic,SWAC,FALSE,Panthers,PVAMU,Prairie View,PV A&M,,,,
Southern,Southwestern Athletic,SWAC,FALSE,Jaguars,SOU,Southern University,,,,,
Texas Southern,Southwestern Athletic,SWAC,FALSE,Tigers,TXSO,,,,,,
Hofstra,,,FALSE,Pride,,,,,,,
Northeastern,,,FALSE,Huskies,,,,,,,
Winston-Salem State,,,FALSE,Rams,WSSU,Winston-Salem,,,,,
New Mexico Highlands,,,FALSE,Cowboys,NMHU,,,,,,
Mary,,,FALSE,Marauders,,,,,,,
Arkansas Tech,,,FALSE,Wonder Boys,,,,,,,
Central Washington,,,FALSE,Wildcats,,,,,,,
Slippery Rock,,,FALSE,The Rock,,,,,,,
La Salle,,,FALSE,Explorers,,,,,,,
Chadron State,,,FALSE,Eagles,,,,,,,
Minnesota State,,,FALSE,Mavericks,,,,,,,
Saint Peter’s,,,FALSE,Peacocks,,,,,,,
Tuskegee,,,FALSE,Golden Tigers,,,,,,,
Chowan,,,FALSE,Hawks,,,,,,,
Iona,,,FALSE,Gaels,,,,,,,
Florida Tech,,,FALSE,Panthers,,Florida Institute of Technology,,,,,
Carnegie Mellon,,,FALSE,Tartans,,,,,,,
Ferris State,,,FALSE,Bulldogs,,,,,,,
Southern Oregon,,,FALSE,Raiders,,,,,,,
Western Oregon,,,FALSE,Wolves,,,,,,,
Henderson State,,,FALSE,Reddies,,,,,,,
Mars Hill,,,FALSE,Lions,,,,,,,
Valdosta State,,,FALSE,Blazers,,,,,,,
Grand Valley State,,,FALSE,FALSE,Lakers,GVS,Grand Valley St.,,,,
Pacific,Big West,BWC,FALSE,FALSE,Tigers,,,,,,
Cal St. Fullerton,Big West,BWC,FALSE,FALSE,Titans,,Cal State Fullerton,,,,
Long Beach St.,Big West,BWC,FALSE,FALSE,49ers,,Long Beach St,,,,
