Sport,Season,Team,W,L,Rank,Conf
MBB,2019-20,NJIT,8,21,310,ASUN
MBB,2019-20,Marist,7,23,311,MAAC
MBB,2019-20,FGCU,8,22,312,ASUN
MBB,2019-20,Morgan St.,12,16,313,MEAC
MBB,2019-20,A&M-Corpus; Christi,12,18,314,Southland
MBB,2019-20,Central Ark.,9,21,315,Southland
MBB,2019-20,Charleston So.,12,18,316,Big South
MBB,2019-20,Columbia,5,24,317,Ivy League
MBB,2019-20,Maine,8,22,318,America East
MBB,2019-20,USC Upstate,11,20,319,Big South
MBB,2019-20,Idaho,6,24,320,Big Sky
MBB,2019-20,Morehead St.,11,19,321,OVC
MBB,2019-20,Coppin St.,11,20,322,MEAC
MBB,2019-20,Cal Poly,5,23,323,Big West
MBB,2019-20,Alcorn,11,15,324,SWAC
MBB,2019-20,Samford,7,23,325,SoCon
MBB,2019-20,Denver,6,24,326,Summit League
MBB,2019-20,IUPUI,5,25,327,Horizon
MBB,2019-20,Wagner,7,21,328,NEC
MBB,2019-20,South Carolina St.,9,18,329,MEAC
MBB,2019-20,Presbyterian,8,22,330,Big South
MBB,2019-20,Tennessee Tech,7,22,331,OVC
MBB,2019-20,Binghamton,8,19,332,America East
MBB,2019-20,High Point,7,23,333,Big South
MBB,2019-20,Western Ill.,3,21,334,Summit League
MBB,2019-20,New Orleans,5,21,335,Southland
MBB,2019-20,SIUE,6,23,336,OVC
MBB,2019-20,Alabama St.,8,24,337,SWAC
MBB,2019-20,UT Martin,7,20,338,OVC
MBB,2019-20,The Citadel,3,24,339,SoCon
MBB,2019-20,Alabama A&M;,8,22,340,SWAC
MBB,2019-20,Southeastern La.,5,23,341,Southland
MBB,2019-20,Southeast Mo. St.,5,24,342,OVC
MBB,2019-20,Holy Cross,3,28,343,Patriot
MBB,2019-20,Houston Baptist,4,25,344,Southland
MBB,2019-20,Delaware St.,5,25,345,MEAC
MBB,2019-20,UIW,6,22,346,Southland
MBB,2019-20,Central Conn. St.,3,27,347,NEC
MBB,2019-20,Ark.-Pine Bluff,3,26,348,SWAC
MBB,2019-20,Howard,3,28,349,MEAC
MBB,2019-20,UMES,4,27,350,MEAC
MBB,2019-20,Mississippi Val.,3,27,351,SWAC
MBB,2019-20,Kennesaw St.,1,28,352,ASUN
MBB,2019-20,Chicago St.,Jan,25,353,WAC
