school,urlSchool
Missouri State,https://a.espncdn.com/i/teamlogos/ncaa/500/2623.png
North Dakota State,https://a.espncdn.com/i/teamlogos/ncaa/500/2449.png
Northern Iowa,https://a.espncdn.com/i/teamlogos/ncaa/500/2460.png
South Dakota,https://a.espncdn.com/i/teamlogos/ncaa/500/233.png
South Dakota State,https://a.espncdn.com/i/teamlogos/ncaa/500/2571.png
Southern Illinois,https://a.espncdn.com/i/teamlogos/ncaa/500/79.png
Western Illinois,https://a.espncdn.com/i/teamlogos/ncaa/500/2710.png
Youngstown State,https://a.espncdn.com/i/teamlogos/ncaa/500/2754.png
Bryant,https://a.espncdn.com/i/teamlogos/ncaa/500/2803.png
Central Connecticut,https://a.espncdn.com/i/teamlogos/ncaa/500/2115.png
Duquesne,https://a.espncdn.com/i/teamlogos/ncaa/500/2184.png
Robert Morris (PA),https://a.espncdn.com/i/teamlogos/ncaa/500/2523.png
Sacred Heart,https://a.espncdn.com/i/teamlogos/ncaa/500/2529.png
St. Francis (PA),https://a.espncdn.com/i/teamlogos/ncaa/500/2598.png
Wagner,https://a.espncdn.com/i/teamlogos/ncaa/500/2681.png
Austin Peay,https://a.espncdn.com/i/teamlogos/ncaa/500/2046.png
Eastern Illinois,https://a.espncdn.com/i/teamlogos/ncaa/500/2197.png
Eastern Kentucky,https://a.espncdn.com/i/teamlogos/ncaa/500/2198.png
Jacksonville State,https://a.espncdn.com/i/teamlogos/ncaa/500/55.png
Murray State,https://a.espncdn.com/i/teamlogos/ncaa/500/93.png
Southeast Missouri,https://a.espncdn.com/i/teamlogos/ncaa/500/2546.png
Tennessee State,https://a.espncdn.com/i/teamlogos/ncaa/500/2634.png
Tennessee Tech,https://a.espncdn.com/i/teamlogos/ncaa/500/2635.png
Tennessee-Martin,https://a.espncdn.com/i/teamlogos/ncaa/500/2630.png
Bucknell,https://a.espncdn.com/i/teamlogos/ncaa/500/2083.png
Colgate,https://a.espncdn.com/i/teamlogos/ncaa/500/2142.png
Fordham,https://a.espncdn.com/i/teamlogos/ncaa/500/2230.png
Georgetown,https://a.espncdn.com/i/teamlogos/ncaa/500/46.png
Holy Cross,https://a.espncdn.com/i/teamlogos/ncaa/500/107.png
Lafayette,https://a.espncdn.com/i/teamlogos/ncaa/500/322.png
Lehigh,https://a.espncdn.com/i/teamlogos/ncaa/500/2329.png
Butler,https://a.espncdn.com/i/teamlogos/ncaa/500/2086.png
Davidson,https://a.espncdn.com/i/teamlogos/ncaa/500/2166.png
Dayton,https://a.espncdn.com/i/teamlogos/ncaa/500/2168.png
Drake,https://a.espncdn.com/i/teamlogos/ncaa/500/2181.png
Jacksonville,https://a.espncdn.com/i/teamlogos/ncaa/500/294.png
Marist,https://a.espncdn.com/i/teamlogos/ncaa/500/2368.png
Morehead State,https://a.espncdn.com/i/teamlogos/ncaa/500/2413.png
San Diego,https://a.espncdn.com/i/teamlogos/ncaa/500/301.png
Stetson,https://a.espncdn.com/i/teamlogos/ncaa/500/56.png
Valparaiso,https://a.espncdn.com/i/teamlogos/ncaa/500/2674.png
Chattanooga,https://a.espncdn.com/i/teamlogos/ncaa/500/236.png
Citadel,https://a.espncdn.com/i/teamlogos/ncaa/500/2643.png
East Tennessee St.,https://a.espncdn.com/i/teamlogos/ncaa/500/2193.png
Furman,https://a.espncdn.com/i/teamlogos/ncaa/500/231.png
Mercer,https://a.espncdn.com/i/teamlogos/ncaa/500/2382.png
Samford,https://a.espncdn.com/i/teamlogos/ncaa/500/2535.png
VMI,https://a.espncdn.com/i/teamlogos/ncaa/500/2678.png
Western Carolina,https://a.espncdn.com/i/teamlogos/ncaa/500/2717.png
