Team,Conference,ConferenceAbbrev,Power5,FBS,Nickname,Name1,Name2,Name3,Name4,Name5,Name6,Name7,urlSchool
Idaho,Big Sky,Big Sky,FALSE,FALSE,Vandals,IDHO,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/70.png
Idaho State,Big Sky,Big Sky,FALSE,FALSE,Bengals,IDST,Idaho St,Idaho St.,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/304.png
Montana,Big Sky,Big Sky,FALSE,FALSE,Grizzlies,MONT,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/149.png
Montana State,Big Sky,Big Sky,FALSE,FALSE,Bobcats,MTST,Montana St,Montana St.,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/147.png
Northern Arizona,Big Sky,Big Sky,FALSE,FALSE,Lumberjacks,NAU,N Arizona,Northern Ariz.,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2464.png
Northern Colorado,Big Sky,Big Sky,FALSE,FALSE,Bears,UNCO,N Colorado,Northern Colo.,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2458.png
Portland State,Big Sky,Big Sky,FALSE,FALSE,Vikings,PRST,Portland St,Portland St.,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2502.png
Sacramento State,Big Sky,Big Sky,FALSE,FALSE,Hornets,SAC,Sacramento St,Sacramento St.,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/16.png
Southern Utah,Big Sky,Big Sky,FALSE,FALSE,Thunderbirds,SUU,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/253.png
UC Davis,Big Sky,Big Sky,FALSE,FALSE,Aggies,UCD,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/302.png
Weber State,Big Sky,Big Sky,FALSE,FALSE,Wildcats,WEB,Weber St,Weber St.,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2692.png
Charleston Southern,Big South,Big South,FALSE,FALSE,Buccaneers,CHSO,Charleston So,Charleston So.,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2127.png
Campbell,Big South,Big South,FALSE,FALSE,Fighting Camels,CAMP,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2097.png
Gardner-Webb,Big South,Big South,FALSE,FALSE,Bulldogs,WEBB,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2241.png
Kennesaw State,Big South,Big South,FALSE,FALSE,Owls,KENN,Kennesaw St,Kennesaw St.,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/338.png
Monmouth,Big South,Big South,FALSE,FALSE,Hawks,MONM,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2405.png
Presbyterian,Big South,Big South,FALSE,FALSE,Blue Hose,PRE,Presbyterian College,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2506.png
Albany,Colonial Athletic,CAA,FALSE,FALSE,Great Danes,ALBY,Albany (NY),,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/399.png
Delaware,Colonial Athletic,CAA,FALSE,FALSE,Blue Hens,DEL,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/48.png
Elon,Colonial Athletic,CAA,FALSE,FALSE,Phoenix,ELON,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2210.png
James Madison,Colonial Athletic,CAA,FALSE,FALSE,Dukes,JMU,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/256.png
Maine,Colonial Athletic,CAA,FALSE,FALSE,Black Bears,MAINE,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/311.png
New Hampshire,Colonial Athletic,CAA,FALSE,FALSE,Wildcats,UNH,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/160.png
Rhode Island,Colonial Athletic,CAA,FALSE,FALSE,Rams,URI,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/227.png
Richmond,Colonial Athletic,CAA,FALSE,FALSE,Spiders,RICH,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/257.png
Stony Brook,Colonial Athletic,CAA,FALSE,FALSE,Seawolves,STON,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2619.png
Towson,Colonial Athletic,CAA,FALSE,FALSE,Tigers,TOWS,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/119.png
Villanova,Colonial Athletic,CAA,FALSE,FALSE,Wildcats,NOVA,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/222.png
William & Mary,Colonial Athletic,CAA,FALSE,FALSE,Tribe,W&M,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2729.png
Hampton,Independent (FCS),Ind (FCS),FALSE,FALSE,Pirates,HAMP,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2261.png
North Alabama,Independent (FCS),Ind (FCS),FALSE,FALSE,Lions,,North Ala.,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/2453.png
North Dakota,Independent (FCS),Ind (FCS),FALSE,FALSE,Fighting Hawks,UND,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/155.png
Brown,Ivy League,Ivy,FALSE,FALSE,Bears,BRWN,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/225.png
Columbia,Ivy League,Ivy,FALSE,FALSE,Lions,CLMB,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/171.png
Cornell,Ivy League,Ivy,FALSE,FALSE,Big Red,COR,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/172.png
Dartmouth,Ivy League,Ivy,FALSE,FALSE,Big Green,DART,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/159.png
Harvard,Ivy League,Ivy,FALSE,FALSE,Crimson,HARV,,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/108.png
Penn,Ivy League,Ivy,FALSE,FALSE,Quakers,PENN,Pennsylvania,,,,,,https://a.espncdn.com/i/teamlogos/ncaa/500/219.png
